with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
initial,yi2,y
final,yi2,i
initial,huan4,h
final,huan4,uan
initial,yang3,y
final,yang3,ang
initial,zun1,z
final,zun1,un
initial,chu3,ch
final,chu3,u
initial,you1,y
final,you1,ou
initial,yang4,y
final,yang4,ang
initial,yang4,y
final,yang4,ang
initial,bu4,b
final,bu4,u
initial,le4,l
final,le4,e
initial,yang4,y
final,yang4,ang
initial,yang4,y
final,yang4,ang
initial,bu4,b
final,bu4,u
initial,yue4,y
final,yue4,ue
initial,yao1,y
final,yao1,ao
initial,me,m
final,me,e
initial,xiao3,x
final,xiao3,iao
initial,chou3,ch
final,chou3,ou
initial,yao1,y
final,yao1,ao
initial,mo3,m
final,mo3,o
initial,xiao3,x
final,xiao3,iao
initial,chou3,ch
final,chou3,ou
initial,yao1,y
final,yao1,ao
initial,tun2,t
final,tun2,un
initial,mu4,m
final,mu4,u
initial,liu4,l
final,liu4,iu
initial,yao1,y
final,yao1,ao
initial,xian2,x
final,xian2,ian
initial,gu1,g
final,gu1,u
initial,yun4,y
final,yun4,un
initial,yao1,y
final,yao1,ao
initial,mo2,m
final,mo2,o
initial,xiao3,x
final,xiao3,iao
initial,chou3,ch
final,chou3,ou
initial,yao1,y
final,yao1,ao
initial,tao2,t
final,tao2,ao
initial,nong2,n
final,nong2,ong
initial,li3,l
final,li3,i
initial,yao1,y
final,yao1,ao
initial,tao2,t
final,tao2,ao
initial,nong2,n
final,nong2,ong
initial,li3,l
final,li3,i
initial,yao1,y
final,yao1,ao
initial,bu4,b
final,bu4,u
initial,sheng4,sh
final,sheng4,eng
initial,de2,d
final,de2,e
initial,yao1,y
final,yao1,ao
initial,mo2,m
final,mo2,o
initial,gui3,g
final,gui3,ui
initial,guai4,g
final,guai4,uai
initial,yao1,y
final,yao1,ao
initial,xing2,x
final,xing2,ing
initial,guai4,g
final,guai4,uai
initial,zhuang4,zh
final,zhuang4,uang
initial,yao1,y
final,yao1,ao
initial,yan2,y
final,yan2,an
initial,huo4,h
final,huo4,uo
initial,zhong4,zh
final,zhong4,ong
initial,yao1,y
final,yao1,ao
initial,you2,y
final,you2,ou
initial,ren2,r
final,ren2,en
initial,xing1,x
final,xing1,ing
initial,yao1,y
final,yao1,ao
initial,chan2,ch
final,chan2,an
initial,wan4,w
final,wan4,an
initial,guan4,g
final,guan4,uan
initial,yao1,y
final,yao1,ao
initial,gu3,g
final,gu3,u
initial,xiong1,x
final,xiong1,iong
initial,di4,d
final,di4,i
initial,yao1,y
final,yao1,ao
initial,jin1,j
final,jin1,in
initial,tuo1,t
final,tuo1,uo
initial,zi3,z
final,zi3,i
initial,yao1,y
final,yao1,ao
initial,jin1,j
final,jin1,in
initial,yi1,y
final,yi1,i
initial,zi3,z
final,zi3,i
initial,yao1,y
final,yao1,ao
initial,gong1,g
final,gong1,ong
initial,qiu2,q
final,qiu2,iu
initial,shang3,sh
final,shang3,ang
initial,yao1,y
final,yao1,ao
initial,gong1,g
final,gong1,ong
initial,xi1,x
final,xi1,i
initial,chong3,ch
final,chong3,ong
initial,yao1,y
final,yao1,ao
initial,ming2,m
final,ming2,ing
initial,she4,sh
final,she4,e
initial,li4,l
final,li4,i
initial,yao2,y
final,yao2,ao
initial,nian2,n
final,nian2,ian
initial,shun4,sh
final,shun4,un
initial,yue4,y
final,yue4,ue
initial,yao2,y
final,yao2,ao
initial,qu1,q
final,qu1,u
initial,shun4,sh
final,shun4,un
initial,bu4,b
final,bu4,u
initial,yao2,y
final,yao2,ao
initial,tian1,t
final,tian1,ian
initial,shun4,sh
final,shun4,un
initial,ri4,r
final,ri4,i
initial,yao2,y
final,yao2,ao
initial,huang2,h
final,huang2,uang
initial,wei4,w
final,wei4,ei
initial,pin3,p
final,pin3,in
initial,yao2,y
final,yao2,ao
initial,huang2,h
final,huang2,uang
initial,wei4,w
final,wei4,ei
initial,zi3,z
final,zi3,i
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,yi4,y
final,yi4,i
initial,que1,q
final,que1,ue
initial,yao2,y
final,yao2,ao
initial,bi3,b
final,bi3,i
initial,ji2,j
final,ji2,i
initial,lai2,l
final,lai2,ai
initial,yao2,y
final,yao2,ao
initial,chun2,ch
final,chun2,un
initial,gu3,g
final,gu3,u
initial,hui4,h
final,hui4,ui
initial,yao2,y
final,yao2,ao
initial,chun2,ch
final,chun2,un
initial,gu3,g
final,gu3,u
initial,she2,sh
final,she2,e
initial,yao2,y
final,yao2,ao
final,e2,e
initial,mao2,m
final,mao2,ao
initial,shan4,sh
final,shan4,an
initial,yao2,y
final,yao2,ao
initial,qi2,q
final,qi2,i
initial,na4,n
final,na4,a
initial,han3,h
final,han3,an
initial,yao2,y
final,yao2,ao
initial,shen1,sh
final,shen1,en
initial,yi1,y
final,yi1,i
initial,bian4,b
final,bian4,ian
initial,yao2,y
final,yao2,ao
initial,shou3,sh
final,shou3,ou
initial,chu4,ch
final,chu4,u
initial,jin4,j
final,jin4,in
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,bai3,b
final,bai3,ai
initial,nao3,n
final,nao3,ao
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,bai3,b
final,bai3,ai
initial,wei3,w
final,wei3,ei
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,huang4,h
final,huang4,uang
initial,nao3,n
final,nao3,ao
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,huang3,h
final,huang3,uang
initial,nao3,n
final,nao3,ao
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,gao3,g
final,gao3,ao
initial,nao3,n
final,nao3,ao
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,mou2,m
final,mou2,ou
initial,wei3,w
final,wei3,ei
initial,yao2,y
final,yao2,ao
initial,tou2,t
final,tou2,ou
initial,tan4,t
final,tan4,an
initial,xi1,x
final,xi1,i
initial,yao2,y
final,yao2,ao
initial,wei3,w
final,wei3,ei
initial,qi3,q
final,qi3,i
initial,lian2,l
final,lian2,ian
initial,yao2,y
final,yao2,ao
initial,wei3,w
final,wei3,ei
initial,qiu2,q
final,qiu2,iu
initial,shi2,sh
final,shi2,i
initial,yao2,y
final,yao2,ao
initial,wei3,w
final,wei3,ei
initial,tu2,t
final,tu2,u
initial,zhong1,zh
final,zhong1,ong
initial,yao2,y
final,yao2,ao
initial,xi2,x
final,xi2,i
initial,po4,p
final,po4,o
initial,zuo4,z
final,zuo4,uo
initial,yao2,y
final,yao2,ao
initial,xi2,x
final,xi2,i
initial,po4,p
final,po4,o
initial,zuo4,z
final,zuo4,uo
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,yu4,y
final,yu4,u
initial,zhui4,zh
final,zhui4,ui
initial,yao2,y
final,yao2,ao
initial,yu3,y
final,yu3,u
initial,mao2,m
final,mao2,ao
initial,shan4,sh
final,shan4,an
initial,yao2,y
final,yao2,ao
initial,zui3,z
final,zui3,ui
initial,diao4,d
final,diao4,iao
initial,she2,sh
final,she2,e
initial,yao2,y
final,yao2,ao
initial,xiang1,x
final,xiang1,iang
initial,hu1,h
final,hu1,u
initial,ying4,y
final,ying4,ing
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,hua2,h
final,hua2,ua
initial,zhou4,zh
final,zhou4,ou
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,ling3,l
final,ling3,ing
initial,xian1,x
final,xian1,ian
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,wu2,w
final,wu2,u
initial,qi1,q
final,qi1,i
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,xiang1,x
final,xiang1,iang
initial,dui4,d
final,dui4,ui
initial,yao2,y
final,yao2,ao
initial,yao2,y
final,yao2,ao
initial,zai4,z
final,zai4,ai
initial,wang4,w
final,wang4,ang
initial,yao2,y
final,yao2,ao
initial,cao3,c
final,cao3,ao
initial,qi2,q
final,qi2,i
initial,hua1,h
final,hua1,ua
initial,yao2,y
final,yao2,ao
initial,cao3,c
final,cao3,ao
initial,qi2,q
final,qi2,i
initial,hua1,h
final,hua1,ua
initial,yao2,y
final,yao2,ao
initial,cao3,c
final,cao3,ao
initial,qi2,q
final,qi2,i
initial,pa1,p
final,pa1,a
initial,yao2,y
final,yao2,ao
initial,shi,sh
final,shi,i
initial,nv3,n
final,nv3,v
initial,shi3,sh
final,shi3,i
initial,yao2,y
final,yao2,ao
initial,shi,sh
final,shi,i
initial,yu4,y
final,yu4,u
initial,ye4,y
final,ye4,e
initial,yao2,y
final,yao2,ao
initial,huan2,h
final,huan2,uan
initial,yu2,y
final,yu2,u
final,er3,er
initial,yao2,y
final,yao2,ao
initial,lin2,l
final,lin2,in
initial,qiong2,q
final,qiong2,iong
initial,shu4,sh
final,shu4,u
initial,yao2,y
final,yao2,ao
initial,lin2,l
final,lin2,in
initial,yu4,y
final,yu4,u
initial,shu4,sh
final,shu4,u
initial,yao2,y
final,yao2,ao
initial,tai2,t
final,tai2,ai
initial,qiong2,q
final,qiong2,iong
initial,shi4,sh
final,shi4,i
initial,yao2,y
final,yao2,ao
initial,tai2,t
final,tai2,ai
initial,yin2,y
final,yin2,in
initial,que4,q
final,que4,ue
initial,yao3,y
final,yao3,ao
initial,bu4,b
final,bu4,u
initial,ke3,k
final,ke3,e
initial,wen2,w
final,wen2,en
initial,yao3,y
final,yao3,ao
initial,ru2,r
final,ru2,u
initial,huang2,h
final,huang2,uang
initial,he4,h
final,he4,e
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,ren2,r
final,ren2,en
initial,ji4,j
final,ji4,i
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,ren2,r
final,ren2,en
initial,yan1,y
final,yan1,an
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,xiao1,x
final,xiao1,iao
initial,xi1,x
final,xi1,i
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,xin4,x
final,xin4,in
initial,xi1,x
final,xi1,i
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,yin1,y
final,yin1,in
initial,hao4,h
final,hao4,ao
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,yin1,y
final,yin1,in
initial,xin4,x
final,xin4,in
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,yin1,y
final,yin1,in
initial,xun4,x
final,xun4,un
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,ying3,y
final,ying3,ing
initial,xiang3,x
final,xiang3,iang
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,zong1,z
final,zong1,ong
initial,ji1,j
final,ji1,i
initial,yao3,y
final,yao3,ao
initial,wu2,w
final,wu2,u
initial,zong1,z
final,zong1,ong
initial,ying3,y
final,ying3,ing
initial,yao3,y
final,yao3,ao
initial,de2,d
final,de2,e
initial,cai4,c
final,cai4,ai
initial,gen1,g
final,gen1,en
initial,yao3,y
final,yao3,ao
initial,ding1,d
final,ding1,ing
initial,jiao2,j
final,jiao2,iao
initial,tie3,t
final,tie3,ie
initial,yao3,y
final,yao3,ao
initial,ding4,d
final,ding4,ing
initial,ya2,y
final,ya2,a
initial,gen1,g
final,gen1,en
initial,yao3,y
final,yao3,ao
initial,ding4,d
final,ding4,ing
initial,ya2,y
final,ya2,a
initial,guan1,g
final,guan1,uan
initial,yao3,y
final,yao3,ao
initial,jiang1,j
final,jiang1,iang
initial,ga1,g
final,ga1,a
initial,cu4,c
final,cu4,u
initial,yao3,y
final,yao3,ao
initial,jin1,j
final,jin1,in
initial,ya2,y
final,ya2,a
initial,guan1,g
final,guan1,uan
initial,yao3,y
final,yao3,ao
initial,wen2,w
final,wen2,en
initial,jiao2,j
final,jiao2,iao
initial,zi4,z
final,zi4,i
initial,yao3,y
final,yao3,ao
initial,wen2,w
final,wen2,en
initial,nie4,n
final,nie4,ie
initial,zi4,z
final,zi4,i
initial,yao3,y
final,yao3,ao
initial,wen2,w
final,wen2,en
initial,nie4,n
final,nie4,ie
initial,zi4,z
final,zi4,i
initial,yao3,y
final,yao3,ao
initial,xue4,x
final,xue4,ue
initial,wei2,w
final,wei2,ei
initial,meng2,m
final,meng2,eng
initial,yao3,y
final,yao3,ao
initial,ya2,y
final,ya2,a
initial,hen4,h
final,hen4,en
initial,chi3,ch
final,chi3,i
initial,yao3,y
final,yao3,ao
initial,ya2,y
final,ya2,a
initial,qie4,q
final,qie4,ie
initial,chi3,ch
final,chi3,i
initial,yao3,y
final,yao3,ao
initial,yin1,y
final,yin1,in
initial,za1,z
final,za1,a
initial,zi4,z
final,zi4,i
initial,yao3,y
final,yao3,ao
initial,tiao3,t
final,tiao3,iao
initial,shu1,sh
final,shu1,u
initial,nv3,n
final,nv3,v
initial,yao4,y
final,yao4,ao
initial,dao4,d
final,dao4,ao
initial,bing4,b
final,bing4,ing
initial,chu2,ch
final,chu2,u
initial,yao4,y
final,yao4,ao
initial,dian4,d
final,dian4,ian
initial,fei1,f
final,fei1,ei
initial,long2,l
final,long2,ong
initial,yao4,y
final,yao4,ao
initial,long2,l
final,long2,ong
initial,zhong1,zh
final,zhong1,ong
initial,wu4,w
final,wu4,u
initial,yao4,y
final,yao4,ao
initial,shi2,sh
final,shi2,i
initial,zhi1,zh
final,zhi1,i
initial,yan2,y
final,yan2,an
initial,yao4,y
final,yao4,ao
final,er2,er
initial,lun4,l
final,lun4,un
initial,zhi1,zh
final,zhi1,i
initial,yao4,y
final,yao4,ao
final,er2,er
initial,yan2,y
final,yan2,an
initial,zhi1,zh
final,zhi1,i
initial,yao4,y
final,yao4,ao
initial,hai4,h
final,hai4,ai
initial,zhi1,zh
final,zhi1,i
initial,di4,d
final,di4,i
initial,yao4,y
final,yao4,ao
initial,jia4,j
final,jia4,ia
initial,huan2,h
final,huan2,uan
initial,jia4,j
final,jia4,ia
initial,yao4,y
final,yao4,ao
initial,si3,s
final,si3,i
initial,yao4,y
final,yao4,ao
initial,huo2,h
final,huo2,uo
initial,yao4,y
final,yao4,ao
initial,yan2,y
final,yan2,an
initial,bu4,b
final,bu4,u
initial,fan2,f
final,fan2,an
initial,yao4,y
final,yao4,ao
initial,yan2,y
final,yan2,an
initial,miao4,m
final,miao4,iao
initial,dao4,d
final,dao4,ao
initial,yao4,y
final,yao4,ao
initial,wu3,w
final,wu3,u
initial,yang2,y
final,yang2,ang
initial,wei1,w
final,wei1,ei
initial,yao4,y
final,yao4,ao
initial,zu3,z
final,zu3,u
initial,rong2,r
final,rong2,ong
initial,zong1,z
final,zong1,ong
initial,ye2,y
final,ye2,e
initial,fan4,f
final,fan4,an
initial,niang2,n
final,niang2,iang
initial,geng1,g
final,geng1,eng
initial,ye2,y
final,ye2,e
initial,geng1,g
final,geng1,eng
initial,niang2,n
final,niang2,iang
initial,fan4,f
final,fan4,an
initial,ye3,y
final,ye3,e
initial,rong2,r
final,rong2,ong
initial,hui4,h
final,hui4,ui
initial,yin2,y
final,yin2,in
initial,ye3,y
final,ye3,e
initial,ye4,y
final,ye4,e
initial,chang4,ch
final,chang4,ang
initial,tiao2,t
final,tiao2,iao
initial,ye3,y
final,ye3,e
initial,cao3,c
final,cao3,ao
initial,xian2,x
final,xian2,ian
initial,hua1,h
final,hua1,ua
initial,ye3,y
final,ye3,e
initial,diao4,d
final,diao4,iao
initial,wu2,w
final,wu2,u
initial,qiang1,q
final,qiang1,iang
initial,ye3,y
final,ye3,e
initial,he4,h
final,he4,e
initial,gu1,g
final,gu1,u
initial,yun2,y
final,yun2,un
initial,ye3,y
final,ye3,e
initial,he4,h
final,he4,e
initial,xian2,x
final,xian2,ian
initial,yun2,y
final,yun2,un
initial,ye3,y
final,ye3,e
initial,ma3,m
final,ma3,a
initial,wu2,w
final,wu2,u
initial,jiang1,j
final,jiang1,iang
initial,ye3,y
final,ye3,e
initial,mei2,m
final,mei2,ei
initial,yi2,y
final,yi2,i
initial,xian2,x
final,xian2,ian
initial,ye3,y
final,ye3,e
initial,ren2,r
final,ren2,en
initial,xian4,x
final,xian4,ian
initial,pu4,p
final,pu4,u
initial,ye3,y
final,ye3,e
initial,ren2,r
final,ren2,en
initial,xian4,x
final,xian4,ian
initial,qin2,q
final,qin2,in
initial,ye3,y
final,ye3,e
initial,ren2,r
final,ren2,en
initial,xian4,x
final,xian4,ian
initial,ri4,r
final,ri4,i
initial,ye3,y
final,ye3,e
initial,ren2,r
final,ren2,en
initial,zou4,z
final,zou4,ou
initial,pu4,p
final,pu4,u
initial,ye3,y
final,ye3,e
initial,su4,s
final,su4,u
initial,shan1,sh
final,shan1,an
initial,yao2,y
final,yao2,ao
initial,ye3,y
final,ye3,e
initial,wu2,w
final,wu2,u
initial,yi2,y
final,yi2,i
initial,cai2,c
final,cai2,ai
initial,ye3,y
final,ye3,e
initial,wu2,w
final,wu2,u
initial,yi2,y
final,yi2,i
initial,xian2,x
final,xian2,ian
initial,ye3,y
final,ye3,e
initial,xin1,x
final,xin1,in
initial,bo2,b
final,bo2,o
initial,bo2,b
final,bo2,o
initial,ye4,y
final,ye4,e
initial,jing1,j
final,jing1,ing
initial,yu2,y
final,yu2,u
initial,qin2,q
final,qin2,in
initial,ye4,y
final,ye4,e
initial,jun4,j
final,jun4,un
initial,hong2,h
final,hong2,ong
initial,ji4,j
final,ji4,i
initial,ye4,y
final,ye4,e
initial,ye4,y
final,ye4,e
initial,jin1,j
final,jin1,in
initial,jin1,j
final,jin1,in
initial,ye4,y
final,ye4,e
initial,ye4,y
final,ye4,e
initial,jing1,j
final,jing1,ing
initial,jing1,j
final,jing1,ing
initial,ye4,y
final,ye4,e
initial,gong1,g
final,gong1,ong
initial,hao4,h
final,hao4,ao
initial,long2,l
final,long2,ong
initial,ye4,y
final,ye4,e
initial,luo4,l
final,luo4,uo
initial,gui1,g
final,gui1,ui
initial,gen1,g
final,gen1,en
initial,ye4,y
final,ye4,e
initial,luo4,l
final,luo4,uo
initial,zhi1,zh
final,zhi1,i
initial,qiu1,q
final,qiu1,iu
initial,ye4,y
final,ye4,e
initial,shou4,sh
final,shou4,ou
initial,hua1,h
final,hua1,ua
initial,can2,c
final,can2,an
initial,ye4,y
final,ye4,e
initial,bing1,b
final,bing1,ing
initial,qi4,q
final,qi4,i
initial,jia3,j
final,jia3,ia
initial,ye4,y
final,ye4,e
initial,bing1,b
final,bing1,ing
initial,zhi1,zh
final,zhi1,i
initial,ji4,j
final,ji4,i
initial,ye4,y
final,ye4,e
initial,ju1,j
final,ju1,u
initial,wang2,w
final,wang2,ang
initial,men2,m
final,men2,en
initial,ye4,y
final,ye4,e
initial,wei3,w
final,wei3,ei
initial,ni2,n
final,ni2,i
initial,tu2,t
final,tu2,u
initial,ye4,y
final,ye4,e
initial,wei3,w
final,wei3,ei
initial,tu2,t
final,tu2,u
initial,zhong1,zh
final,zhong1,ong
initial,ye4,y
final,ye4,e
initial,jia4,j
final,jia4,ia
initial,zhi1,zh
final,zhi1,i
initial,cang2,c
final,cang2,ang
initial,ye4,y
final,ye4,e
initial,bu4,b
final,bu4,u
initial,bi4,b
final,bi4,i
initial,hu4,h
final,hu4,u
initial,ye4,y
final,ye4,e
initial,bu4,b
final,bu4,u
initial,cheng2,ch
final,cheng2,eng
initial,mei4,m
final,mei4,ei
initial,ye4,y
final,ye4,e
initial,chang2,ch
final,chang2,ang
initial,meng4,m
final,meng4,eng
initial,duan3,d
final,duan3,uan
initial,ye4,y
final,ye4,e
initial,chang2,ch
final,chang2,ang
initial,meng4,m
final,meng4,eng
initial,duo1,d
final,duo1,uo
initial,ye4,y
final,ye4,e
initial,jing4,j
final,jing4,ing
initial,geng1,g
final,geng1,eng
initial,lan2,l
final,lan2,an
initial,ye4,y
final,ye4,e
initial,jing4,j
final,jing4,ing
initial,geng1,g
final,geng1,eng
initial,shen1,sh
final,shen1,en
initial,ye4,y
final,ye4,e
initial,lan2,l
final,lan2,an
initial,ren2,r
final,ren2,en
initial,jing4,j
final,jing4,ing
initial,ye4,y
final,ye4,e
initial,lang2,l
final,lang2,ang
initial,zi4,z
final,zi4,i
initial,da4,d
final,da4,a
initial,ye4,y
final,ye4,e
initial,shen1,sh
final,shen1,en
initial,ren2,r
final,ren2,en
initial,jing4,j
final,jing4,ing
initial,ye4,y
final,ye4,e
initial,xing2,x
final,xing2,ing
initial,bei4,b
final,bei4,ei
initial,xiu4,x
final,xiu4,iu
initial,ye4,y
final,ye4,e
initial,yi3,y
final,yi3,i
initial,ji4,j
final,ji4,i
initial,ri4,r
final,ri4,i
initial,ye4,y
final,ye4,e
initial,yi3,y
final,yi3,i
initial,ji4,j
final,ji4,i
initial,zhou4,zh
final,zhou4,ou
initial,ye4,y
final,ye4,e
initial,yu3,y
final,yu3,u
initial,dui4,d
final,dui4,ui
initial,chuang2,ch
final,chuang2,uang
initial,yi1,y
final,yi1,i
initial,ba3,b
final,ba3,a
initial,si3,s
final,si3,i
initial,na2,n
final,na2,a
initial,yi1,y
final,yi1,i
initial,bai4,b
final,bai4,ai
initial,ru2,r
final,ru2,u
initial,shui3,sh
final,shui3,ui
initial,yi1,y
final,yi1,i
initial,bai4,b
final,bai4,ai
initial,tu2,t
final,tu2,u
initial,di4,d
final,di4,i
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,ban4,b
final,ban4,an
initial,dian3,d
final,dian3,ian
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,yi1,y
final,yi1,i
initial,bei4,b
final,bei4,ei
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,yi1,y
final,yi1,i
initial,ji2,j
final,ji2,i
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,jian4,j
final,jian4,ian
initial,shi2,sh
final,shi2,i
initial,yi4,y
final,yi4,i
initial,ban1,b
final,ban1,an
initial,wu2,w
final,wu2,u
final,er4,er
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,ban4,b
final,ban4,an
initial,dian3,d
final,dian3,ian
initial,yi1,y
final,yi1,i
initial,ban1,b
final,ban1,an
initial,kui1,k
final,kui1,ui
initial,bao4,b
final,bao4,ao
initial,yi1,y
final,yi1,i
initial,ban3,b
final,ban3,an
initial,san1,s
final,san1,an
initial,yan3,y
final,yan3,an
initial,yi1,y
final,yi1,i
initial,ban3,b
final,ban3,an
initial,yi1,y
final,yi1,i
initial,yan3,y
final,yan3,an
initial,yi1,y
final,yi1,i
initial,ban4,b
final,ban4,an
initial,xin1,x
final,xin1,in
initial,xiang1,x
final,xiang1,iang
initial,yi1,y
final,yi1,i
initial,pu4,p
final,pu4,u
initial,shi2,sh
final,shi2,i
initial,han2,h
final,han2,an
initial,yi1,y
final,yi1,i
initial,bei1,b
final,bei1,ei
initial,yi1,y
final,yi1,i
initial,xi3,x
final,xi3,i
initial,yi1,y
final,yi1,i
initial,ben3,b
final,ben3,en
initial,wan4,w
final,wan4,an
initial,li4,l
final,li4,i
initial,yi1,y
final,yi1,i
initial,ben3,b
final,ben3,en
initial,zheng4,zh
final,zheng4,eng
initial,jing1,j
final,jing1,ing
initial,yi1,y
final,yi1,i
initial,bi2,b
final,bi2,i
initial,zi,z
final,zi,i
initial,hui1,h
final,hui1,ui
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,bu4,b
final,bu4,u
initial,gou3,g
final,gou3,ou
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,gou1,g
final,gou1,ou
initial,duan4,d
final,duan4,uan
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,gou1,g
final,gou1,ou
initial,xiao1,x
final,xiao1,iao
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,gou1,g
final,gou1,ou
initial,xiao1,x
final,xiao1,iao
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,mo4,m
final,mo4,o
initial,sa4,s
final,sa4,a
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,mo3,m
final,mo3,o
initial,sha1,sh
final,sha1,a
initial,yi1,y
final,yi1,i
initial,bi3,b
final,bi3,i
initial,mo3,m
final,mo3,o
initial,sha1,sh
final,sha1,a
initial,yi1,y
final,yi1,i
initial,bi4,b
final,bi4,i
initial,wan4,w
final,wan4,an
initial,qing3,q
final,qing3,ing
initial,yi1,y
final,yi1,i
initial,bi4,b
final,bi4,i
initial,zhi1,zh
final,zhi1,i
initial,li4,l
final,li4,i
initial,yi1,y
final,yi1,i
initial,bian1,b
final,bian1,ian
initial,xian1,x
final,xian1,ian
initial,zhuo2,zh
final,zhuo2,uo
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,fei1,f
final,fei1,ei
initial,fan2,f
final,fan2,an
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,fei1,f
final,fei1,ei
initial,su2,s
final,su2,u
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,ren2,r
final,ren2,en
initial,cai2,c
final,cai2,ai
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,ren2,r
final,ren2,en
initial,cai2,c
final,cai2,ai
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,ren2,r
final,ren2,en
initial,wu4,w
final,wu4,u
initial,yi1,y
final,yi1,i
initial,biao3,b
final,biao3,iao
initial,tang2,t
final,tang2,ang
initial,tang2,t
final,tang2,ang
initial,yi1,y
final,yi1,i
initial,bing3,b
final,bing3,ing
initial,da4,d
final,da4,a
initial,gong1,g
final,gong1,ong
initial,yi1,y
final,yi1,i
initial,bing3,b
final,bing3,ing
initial,qian2,q
final,qian2,ian
initial,cheng2,ch
final,cheng2,eng
initial,yi1,y
final,yi1,i
initial,bing3,b
final,bing3,ing
initial,zhi4,zh
final,zhi4,i
initial,gong1,g
final,gong1,ong
initial,yi1,y
final,yi1,i
initial,bing4,b
final,bing4,ing
initial,bu4,b
final,bu4,u
initial,qi3,q
final,qi3,i
initial,yi1,y
final,yi1,i
initial,bo1,b
final,bo1,o
initial,san1,s
final,san1,an
initial,zhe2,zh
final,zhe2,e
initial,yi1,y
final,yi1,i
initial,bo1,b
final,bo1,o
initial,wan4,w
final,wan4,an
initial,bo1,b
final,bo1,o
initial,yi1,y
final,yi1,i
initial,bu4,b
final,bu4,u
initial,niu3,n
final,niu3,iu
initial,zhong4,zh
final,zhong4,ong
initial,yi1,y
final,yi1,i
initial,bu4,b
final,bu4,u
initial,deng1,d
final,deng1,eng
initial,tian1,t
final,tian1,ian
initial,yi1,y
final,yi1,i
initial,bu4,b
final,bu4,u
initial,yi1,y
final,yi1,i
initial,gui3,g
final,gui3,ui
initial,yi1,y
final,yi1,i
initial,bu4,b
final,bu4,u
initial,yi1,y
final,yi1,i
initial,qu1,q
final,qu1,u
initial,yi1,y
final,yi1,i
initial,cao3,c
final,cao3,ao
initial,yi1,y
final,yi1,i
initial,mu4,m
final,mu4,u
initial,yi1,y
final,yi1,i
initial,cha4,ch
final,cha4,a
initial,ban4,b
final,ban4,an
initial,cuo4,c
final,cuo4,uo
initial,yi1,y
final,yi1,i
initial,cha4,ch
final,cha4,a
final,er4,er
initial,cuo4,c
final,cuo4,uo
initial,yi1,y
final,yi1,i
initial,cha4,ch
final,cha4,a
final,er4,er
initial,wu4,w
final,wu4,u
initial,yi1,y
final,yi1,i
initial,cha4,ch
final,cha4,a
final,er4,er
initial,wu4,w
final,wu4,u
initial,yi1,y
