:VID(string),idiom.pinyin:string
莺飞燕舞,"['ying1', 'fei1', 'yan4', 'wu3']"
莺歌蝶舞,"['ying1', 'ge1', 'die2', 'wu3']"
莺歌燕舞,"['ying1', 'ge1', 'yan4', 'wu3']"
莺歌燕语,"['ying1', 'ge1', 'yan4', 'yu3']"
莺闺燕阁,"['ying1', 'gui1', 'yan4', 'ge2']"
莺期燕约,"['ying1', 'qi1', 'yan4', 'yue1']"
莺声燕语,"['ying1', 'sheng1', 'yan4', 'yu3']"
莺啼燕语,"['ying1', 'ti2', 'yan4', 'yu3']"
莺吟燕舞,"['ying1', 'yin2', 'yan4', 'wu3']"
莺吟燕儛,"['ying1', 'yin2', 'yan4', 'sai1']"
鹦鹉学舌,"['ying1', 'wu3', 'xue2', 'she2']"
鹦鹉学语,"['ying1', 'wu3', 'xue2', 'yu3']"
膺箓受图,"['ying1', 'lu4', 'shou4', 'tu2']"
膺图受箓,"['ying1', 'tu2', 'shou4', 'lu4']"
鹰鼻鹞眼,"['ying1', 'bi2', 'yao4', 'yan3']"
鹰撮霆击,"['ying1', 'cuo1', 'ting2', 'ji1']"
鹰击长空,"['ying1', 'ji1', 'chang2', 'kong1']"
鹰击毛挚,"['ying1', 'ji1', 'mao2', 'zhi4']"
鹰瞵鹗视,"['ying1', 'lin2', 'e4', 'shi4']"
鹰瞵虎攫,"['ying1', 'lin2', 'hu3', 'jue2']"
鹰瞵虎视,"['ying1', 'lin2', 'hu3', 'shi4']"
鹰拿雁捉,"['ying1', 'na2', 'yan4', 'zhuo1']"
鹰拿燕雀,"['ying1', 'na2', 'yan4', 'que4']"
鹰觑鹘望,"['ying1', 'qu4', 'hu2', 'wang4']"
鹰犬塞途,"['ying1', 'quan3', 'sai1', 'tu2']"
鹰犬之才,"['ying1', 'quan3', 'zhi1', 'cai2']"
鹰视虎步,"['ying1', 'shi4', 'hu3', 'bu4']"
鹰视狼步,"['ying1', 'shi4', 'lang2', 'bu4']"
鹰视狼顾,"['ying1', 'shi4', 'lang2', 'gu4']"
鹰睃狼顾,"['ying1', 'suo1', 'lang2', 'gu4']"
鹰头雀脑,"['ying1', 'tou2', 'que4', 'nao3']"
鹰心雁爪,"['ying1', 'xin1', 'yan4', 'zhao3']"
鹰扬虎视,"['ying1', 'yang2', 'hu3', 'shi4']"
鹰扬虎噬,"['ying1', 'yang2', 'hu3', 'shi4']"
鹰挚狼食,"['ying1', 'zhi4', 'lang2', 'shi2']"
鹰嘴鹞目,"['ying1', 'zui3', 'yao4', 'mu4']"
迎风待月,"['ying2', 'feng1', 'dai4', 'yue4']"
迎风冒雪,"['ying2', 'feng1', 'mao4', 'xue3']"
迎风招展,"['ying2', 'feng1', 'zhao1', 'zhan3']"
迎奸卖俏,"['ying2', 'jian1', 'mai4', 'qiao4']"
迎来送往,"['ying2', 'lai2', 'song4', 'wang3']"
迎门请盗,"['ying2', 'men2', 'qing3', 'dao4']"
迎刃冰解,"['ying2', 'ren4', 'bing1', 'jie3']"
迎刃而解,"['ying2', 'ren4', 'er2', 'jie3']"
迎刃而理,"['ying2', 'ren4', 'er2', 'li3']"
迎刃立解,"['ying2', 'ren4', 'li4', 'jie3']"
迎刃以解,"['ying2', 'ren4', 'yi3', 'jie3']"
迎神赛会,"['ying2', 'shen2', 'sai4', 'hui4']"
迎头赶上,"['ying2', 'tou2', 'gan3', 'shang4']"
迎头痛击,"['ying2', 'tou2', 'tong4', 'ji1']"
迎新弃旧,"['ying2', 'xin1', 'qi4', 'jiu4']"
迎新送故,"['ying2', 'xin1', 'song4', 'gu4']"
迎新送旧,"['ying2', 'xin1', 'song4', 'jiu4']"
盈科后进,"['ying2', 'ke1', 'hou4', 'jin4']"
盈满之咎,"['ying2', 'man3', 'zhi1', 'jiu4']"
盈篇累牍,"['ying2', 'pian1', 'lei3', 'du2']"
盈千累万,"['ying2', 'qian1', 'lei3', 'wan4']"
盈盈秋水,"['ying2', 'ying2', 'shui3', 'qiu1']"
盈盈一水,"['ying2', 'ying2', 'yi1', 'shui3']"
盈则必亏,"['ying2', 'ze2', 'bi4', 'kui1']"
萤窗雪案,"['ying2', 'chuang1', 'xue3', 'an4']"
萤灯雪屋,"['ying2', 'deng1', 'xue3', 'wu1']"
营私罔利,"['ying2', 'si1', 'wang3', 'li4']"
营私舞弊,"['ying2', 'si1', 'wu3', 'bi4']"
营私植党,"['ying2', 'si1', 'zhi2', 'dang3']"
营私作弊,"['ying2', 'si1', 'zuo4', 'bi4']"
营营苟苟,"['ying2', 'ying2', 'gou3', 'gou3']"
营营逐逐,"['ying2', 'ying2', 'zhu2', 'zhu2']"
营蝇斐锦,"['ying2', 'ying2', 'fei1', 'jin3']"
蝇飞蚁聚,"['ying2', 'fei1', 'yi3', 'ju4']"
蝇粪点玉,"['ying2', 'fen4', 'dian3', 'yu4']"
蝇集蚁附,"['ying2', 'ji2', 'yi3', 'fu4']"
蝇名蜗利,"['ying2', 'ming2', 'wo1', 'li4']"
蝇声蛙躁,"['ying2', 'sheng1', 'wa1', 'zao4']"
蝇随骥尾,"['ying2', 'sui2', 'ji4', 'wei3']"
蝇头微利,"['ying2', 'tou2', 'wei1', 'li4']"
蝇头蜗角,"['ying2', 'tou2', 'wo1', 'jiao3']"
蝇头小楷,"['ying2', 'tou2', 'xiao3', 'kai3']"
蝇头小利,"['ying2', 'tou2', 'xiao3', 'li4']"
蝇营狗苟,"['ying2', 'ying2', 'gou3', 'gou3']"
蝇营鼠窥,"['ying2', 'ying2', 'shu3', 'kui1']"
蝇营蚁附,"['ying2', 'ying2', 'yi3', 'fu4']"
蝇营蚁聚,"['ying2', 'ying2', 'yi3', 'ju4']"
蝇攒蚁附,"['ying2', 'cuan2', 'yi3', 'fu4']"
蝇攒蚁聚,"['ying2', 'cuan2', 'yi3', 'ju4']"
嬴奸买俏,"['ying2', 'jian1', 'mai3', 'qiao4']"
赢奸卖俏,"['ying2', 'jian1', 'mai4', 'qiao4']"
赢金一经,"['ying2', 'jin1', 'yi1', 'jing1']"
郢匠挥斤,"['ying3', 'jiang4', 'hui1', 'jin1']"
郢人斤斧,"['ying3', 'ren2', 'jin1', 'fu3']"
郢人斤斫,"['ying3', 'ren2', 'jin1', 'zhuo2']"
郢人运斧,"['ying3', 'ren2', 'yun4', 'fu3']"
郢人斫垩,"['ying3', 'ren2', 'zhuo2', 'e4']"
郢书燕说,"['ying3', 'shu1', 'yan1', 'shuo1']"
郢中白雪,"['ying3', 'zhong1', 'bai2', 'xue3']"
颖脱而出,"['ying3', 'tuo1', 'er2', 'chu1']"
颖悟绝伦,"['ying3', 'wu4', 'jue2', 'lun2']"
颖悟绝人,"['ying3', 'wu4', 'jue2', 'ren2']"
影形不离,"['ying3', 'xing2', 'bu4', 'li2']"
影影绰绰,"['ying3', 'ying3', 'chuo4', 'chuo4']"
影只形单,"['ying3', 'zhi1', 'xing2', 'dan1']"
影只形孤,"['ying3', 'zhi1', 'xing2', 'gu1']"
映雪读书,"['ying4', 'xue3', 'du2', 'shu1']"
映雪囊萤,"['ying4', 'xue3', 'nang2', 'ying2']"
映月读书,"['ying4', 'yue4', 'du2', 'shu1']"
硬语盘空,"['ying4', 'yu3', 'pan2', 'kong1']"
佣中佼佼,"['yong4', 'zhong1', 'jiao3', 'jiao3']"
拥兵自固,"['yong1', 'bing1', 'zi4', 'gu4']"
拥篲救火,"['yong1', 'hui3', 'jiu4', 'huo3']"
拥书百城,"['yong1', 'shu1', 'bai3', 'cheng2']"
拥书南面,"['yong1', 'shu1', 'nan2', 'mian4']"
拥雾翻波,"['yong1', 'wu4', 'fan1', 'bo1']"
拥政爱民,"['yong1', 'zheng4', 'ai4', 'min2']"
庸耳俗目,"['yong1', 'er3', 'su2', 'mu4']"
庸人自扰,"['yong1', 'ren2', 'zi4', 'rao3']"
庸言庸行,"['yong1', 'yan2', 'yong1', 'xing2']"
庸医杀人,"['yong1', 'yi1', 'sha1', 'ren2']"
庸庸碌碌,"['yong1', 'yong1', 'lu4', 'lu4']"
庸中佼佼,"['yong1', 'zhong1', 'jiao3', 'jiao3']"
庸中皦皦,"['yong1', 'zhong1', 'bi4', 'tong2']"
雍门刎首,"['yong1', 'men2', 'wen3', 'shou3']"
雍荣华贵,"['yong1', 'rong2', 'hua2', 'gui4']"
雍荣闲雅,"['yong1', 'rong2', 'xian2', 'ya3']"
雍荣雅步,"['yong1', 'rong2', 'ya3', 'bu4']"
雍容不迫,"['yong1', 'rong2', 'bu4', 'po4']"
雍容大度,"['yong1', 'rong2', 'da4', 'du4']"
雍容大雅,"['yong1', 'rong2', 'da4', 'ya3']"
雍容典雅,"['yong1', 'rong2', 'dian3', 'ya3']"
雍容尔雅,"['yong1', 'rong2', 'er3', 'ya3']"
雍容华贵,"['yong1', 'rong2', 'hua2', 'gui4']"
雍容闲雅,"['yong1', 'rong2', 'xian2', 'ya3']"
雍容雅步,"['yong1', 'rong2', 'ya3', 'bu4']"
饔飧不饱,"['yong1', 'sun1', 'bu4', 'bao3']"
饔飧不给,"['yong1', 'sun1', 'bu4', 'ji3']"
饔飧不济,"['yong1', 'sun1', 'bu4', 'ji4']"
饔飧不继,"['yong1', 'sun1', 'bu4', 'ji4']"
永不磨灭,"['yong3', 'bu4', 'mo2', 'mie4']"
永垂不朽,"['yong3', 'chui2', 'bu4', 'xiu3']"
永垂青史,"['yong3', 'chui2', 'qing1', 'shi3']"
永垂竹帛,"['yong3', 'chui2', 'zhu2', 'bo2']"
永劫沉沦,"['yong3', 'jie2', 'chen2', 'lun2']"
永劫沉轮,"['yong3', 'jie2', 'chen2', 'lun2']"
永生永世,"['yong3', 'sheng1', 'yong3', 'shi4']"
永矢弗谖,"['yong3', 'shi3', 'fu2', 'xuan1']"
永世无穷,"['yong3', 'shi4', 'wu2', 'qiong2']"
永无宁日,"['yong3', 'wu2', 'ning2', 'ri4']"
永无止境,"['yong3', 'wu2', 'zhi3', 'jing4']"
永永无穷,"['yong3', 'shi4', 'wu2', 'qiong2']"
永志不忘,"['yong3', 'zhi4', 'bu4', 'wang4']"
咏嘲风月,"['yong3', 'chao2', 'feng1', 'yue4']"
咏桑寓柳,"['yong3', 'sang1', 'yu4', 'liu3']"
咏月嘲风,"['yong3', 'yue4', 'chao2', 'feng1']"
咏月嘲花,"['yong3', 'yue4', 'chao2', 'hua1']"
勇而无谋,"['yong3', 'er2', 'wu2', 'mou2']"
勇冠三军,"['yong3', 'guan4', 'san1', 'jun1']"
勇猛果敢,"['yong3', 'meng3', 'guo3', 'gan3']"
勇猛精进,"['yong3', 'meng3', 'jing1', 'jin4']"
勇往直前,"['yong3', 'wang3', 'zhi2', 'qian2']"
勇者不惧,"['yong3', 'zhe3', 'bu4', 'ju4']"
用兵如神,"['yong4', 'bing1', 'ru2', 'shen2']"
用非其人,"['yong4', 'fei1', 'qi2', 'ren2']"
用非所学,"['yong4', 'fei1', 'suo3', 'xue2']"
用管窥天,"['yong4', 'guan3', 'kui1', 'tian1']"
用尽心机,"['yong4', 'jin4', 'xin1', 'ji1']"
用其所长,"['yong4', 'qi2', 'suo3', 'chang2']"
用舍行藏,"['yong4', 'she3', 'xing2', 'cang2']"
用天因地,"['yong4', 'tian1', 'yin1', 'di4']"
用武之地,"['yong4', 'wu3', 'zhi1', 'di4']"
用夏变夷,"['yong4', 'xia4', 'bian4', 'yi2']"
用心竭力,"['yong4', 'xin1', 'jie2', 'li4']"
用心良苦,"['yong4', 'xin1', 'liang2', 'ku3']"
用心用意,"['yong4', 'xin1', 'yong4', 'yi4']"
用行舍藏,"['yong4', 'xing2', 'cang2', 'she3']"
用一当十,"['yong4', 'yi1', 'dang1', 'shi2']"
用逸待劳,"['yong4', 'yi4', 'dai4', 'lao2']"
用之不竭,"['yong4', 'zhi1', 'bu4', 'jie2']"
用智铺谋,"['yong4', 'zhi4', 'pu4', 'mou2']"
优孟衣冠,"['you1', 'meng4', 'yi1', 'guan1']"
优柔寡断,"['you1', 'rou2', 'gua3', 'duan4']"
优柔厌饫,"['you1', 'rou2', 'yan4', 'yu4']"
优柔餍饫,"['you1', 'rou2', 'yan4', 'yu4']"
优胜劣败,"['you1', 'sheng4', 'lie4', 'bai4']"
优昙一现,"['you1', 'tan2', 'yi1', 'xian4']"
优贤扬历,"['you1', 'xian2', 'yang2', 'li4']"
优贤飏历,"['you1', 'xian2', 'yang2', 'li4']"
优游不断,"['you1', 'you2', 'bu4', 'duan4']"
优游涵泳,"['you1', 'you2', 'han2', 'yong3']"
优游岁月,"['you1', 'you2', 'sui4', 'yue4']"
优游自得,"['you1', 'you2', 'zi4', 'de2']"
优游自如,"['you1', 'you2', 'zi4', 'ru2']"
优游自若,"['you1', 'you2', 'zi4', 'ruo4']"
优游自适,"['you1', 'you2', 'zi4', 'shi4']"
优游自在,"['you1', 'you2', 'zi4', 'zai4']"
优游卒岁,"['you1', 'you2', 'zu2', 'sui4']"
优哉游哉,"['you1', 'zai1', 'you2', 'zai1']"
忧谗畏讥,"['you1', 'chan2', 'wei4', 'ji1']"
忧愤成疾,"['you1', 'fen4', 'cheng2', 'ji2']"
忧公忘私,"['you1', 'gong1', 'wang4', 'si1']"
忧国爱民,"['you1', 'guo2', 'ai4', 'min2']"
忧国奉公,"['you1', 'guo2', 'feng4', 'gong1']"
忧国忘家,"['you1', 'guo2', 'wang4', 'jia1']"
忧国忧民,"['you1', 'guo2', 'you1', 'min2']"
忧患余生,"['you1', 'huan4', 'yu2', 'sheng1']"
忧深思远,"['you1', 'shen1', 'si1', 'yuan3']"
忧盛危明,"['you1', 'sheng4', 'wei1', 'ming2']"
忧心忡忡,"['you1', 'xin1', 'chong1', 'chong1']"
忧心悄悄,"['you1', 'xin1', 'qiao1', 'qiao1']"
忧心如捣,"['you1', 'xin1', 'ru2', 'dao3']"
忧心如焚,"['you1', 'xin1', 'ru2', 'fen2']"
忧形于色,"['you1', 'xing2', 'yu2', 'se4']"
幽期密约,"['you1', 'qi1', 'mi4', 'yue1']"
悠然自得,"['you1', 'ran2', 'zi4', 'de2']"
悠闲自在,"['you1', 'xian2', 'zi4', 'zai4']"
悠悠荡荡,"['you1', 'you1', 'dang4', 'dang4']"
悠悠忽忽,"['you1', 'you1', 'hu1', 'hu1']"
悠游自得,"['you1', 'you2', 'zi4', 'de2']"
悠游自在,"['you1', 'you2', 'zi4', 'zai4']"
悠哉游哉,"['you1', 'zai1', 'you2', 'zai1']"
尤而效之,"['you2', 'er2', 'xiao4', 'zhi1']"
尤红殢翠,"['you2', 'hong2', 'ti4', 'cui4']"
尤花殢雪,"['you2', 'hua1', 'ti4', 'xue3']"
尤物移人,"['you2', 'wu4', 'yi2', 'ren2']"
尤云殢雪,"['you2', 'yun2', 'ti4', 'xue3']"
尤云殢雨,"['you2', 'yun2', 'zhi4', 'yu3']"
由表及里,"['you2', 'biao3', 'ji2', 'li3']"
由博返约,"['you2', 'bo2', 'fan3', 'yue1']"
由此及彼,"['you2', 'ci3', 'ji2', 'bi3']"
由近及远,"['you2', 'jin4', 'ji2', 'yuan3']"
由来已久,"['you2', 'lai2', 'yi3', 'jiu3']"
由浅入深,"['you2', 'qian3', 'ru4', 'shen1']"
由衷之言,"['you2', 'zhong1', 'zhi1', 'yan2']"
犹解倒悬,"['you2', 'jie3', 'dao4', 'xuan2']"
犹豫不决,"['you2', 'yu4', 'bu4', 'jue2']"
油壁香车,"['you2', 'bi4', 'xiang1', 'che1']"
油干灯尽,"['you2', 'gan4', 'deng1', 'jin4']"
油干火尽,"['you2', 'gan1', 'huo3', 'jin4']"
油光晶亮,"['you2', 'guang1', 'jing1', 'liang4']"
油光可鉴,"['you2', 'guang1', 'ke3', 'jian4']"
油光水滑,"['you2', 'guang1', 'shui3', 'hua2']"
油煎火燎,"['you2', 'jian1', 'huo3', 'liao2']"
油浇火燎,"['you2', 'jiao1', 'huo3', 'liao2']"
油腔滑调,"['you2', 'qiang1', 'hua2', 'diao4']"
油然而生,"['you2', 'ran2', 'er2', 'sheng1']"
油头粉面,"['you2', 'tou2', 'fen3', 'mian4']"
油头光棍,"['you2', 'tou2', 'guang1', 'gun4']"
油头滑脸,"['you2', 'tou2', 'hua2', 'lian3']"
油头滑面,"['you2', 'tou2', 'hua2', 'mian4']"
油头滑脑,"['you2', 'tou2', 'hua2', 'nao3']"
油盐酱醋,"['you2', 'yan2', 'jiang4', 'cu4']"
油渍麻花,"['you2', 'zi4', 'ma2', 'hua1']"
油嘴花唇,"['you2', 'zui3', 'hua1', 'chun2']"
油嘴滑舌,"['you2', 'zui3', 'hua2', 'she2']"
油嘴油舌,"['you2', 'zui3', 'you2', 'she2']"
游必有方,"['you1', 'bi4', 'you3', 'fang1']"
游辞巧饰,"['you2', 'ci2', 'qiao3', 'shi4']"
游荡不羁,"['you2', 'dang4', 'bu4', 'ji1']"
游蜂浪蝶,"['you2', 'feng1', 'lang4', 'die2']"
游蜂戏蝶,"['you2', 'feng1', 'xi4', 'die2']"
游光扬声,"['you2', 'guang1', 'yang2', 'sheng1']"
游回磨转,"['you2', 'hui2', 'mo2', 'zhuan3']"
游目骋观,"['you2', 'mu4', 'cheng3', 'guan1']"
游目骋怀,"['you2', 'mu4', 'cheng3', 'huai2']"
游骑无归,"['you2', 'ji4', 'wu2', 'gui1']"
游刃有余,"['you2', 'ren4', 'you3', 'yu2']"
游山玩景,"['you2', 'shan1', 'wan2', 'jing3']"
游山玩水,"['you2', 'shan1', 'wan2', 'shui3']"
游手好闲,"['you2', 'shou3', 'hao4', 'xian2']"
游手偷闲,"['you2', 'shou3', 'tou1', 'xian2']"
游思妄想,"['you2', 'si1', 'wang4', 'xiang3']"
游谈无根,"['you2', 'tan2', 'wu2', 'gen1']"
游戏笔墨,"['you2', 'xi4', 'bi3', 'mo4']"
游戏尘寰,"['you2', 'xi4', 'chen2', 'huan2']"
游戏翰墨,"['you2', 'xi4', 'han4', 'mo4']"
游戏人间,"['you2', 'xi4', 'ren2', 'jian1']"
游戏人世,"['you2', 'xi4', 'ren2', 'shi4']"
游戏三昧,"['you2', 'xi4', 'san1', 'mei4']"
游闲公子,"['you2', 'xian2', 'gong1', 'zi3']"
游响停云,"['you2', 'xiang3', 'ting2', 'yun2']"
游心骇耳,"['you2', 'xin1', 'hai4', 'er3']"
游心寓目,"['you2', 'xin1', 'yu4', 'mu4']"
游移不定,"['you2', 'yi2', 'bu4', 'ding4']"
游云惊龙,"['you2', 'yun2', 'jing1', 'long2']"
友风子雨,"['you3', 'feng1', 'zi3', 'yu3']"
有案可查,"['you3', 'an4', 'ke3', 'cha2']"
有案可稽,"['you3', 'an4', 'ke3', 'ji1']"
有板有眼,"['you3', 'ban3', 'you3', 'yan3']"
有备无患,"['you3', 'bei4', 'wu2', 'huan4']"
有本有原,"['you3', 'ben3', 'you3', 'yuan2']"
有本有源,"['you3', 'ben3', 'you3', 'yuan2']"
有蠙可乘,"['you3', 'bin1', 'ke3', 'cheng2']"
有才无命,"['you3', 'cai2', 'wu2', 'ming4']"
有财有势,"['you3', 'cai2', 'you3', 'shi4']"
有朝一日,"['you3', 'zhao1', 'yi1', 'ri4']"
有耻且格,"['you3', 'chi3', 'qie3', 'ge2']"
有胆有识,"['you3', 'dan3', 'you3', 'shi2']"
有的放矢,"['you3', 'di4', 'fang4', 'shi3']"
有风有化,"['you3', 'feng1', 'you3', 'hua4']"
有凤来仪,"['you3', 'feng4', 'lai2', 'yi2']"
有福同享,"['you3', 'fu2', 'tong2', 'xiang3']"
有负众望,"['you3', 'fu4', 'zhong4', 'wang4']"
有根有底,"['you3', 'gen1', 'you3', 'di3']"
有根有苗,"['you3', 'gen1', 'you3', 'miao2']"
有国难投,"['you3', 'guo2', 'nan2', 'tou2']"
有害无利,"['you3', 'hai4', 'wu2', 'li4']"
有何面目,"['you3', 'he2', 'mian4', 'mu4']"
有机可乘,"['you3', 'ji1', 'ke3', 'cheng2']"
有己无人,"['you3', 'ji3', 'wu2', 'ren2']"
有加无已,"['you3', 'jia1', 'wu2', 'yi3']"
有家难奔,"['you3', 'jia1', 'nan2', 'ben1']"
有脚书厨,"['you3', 'jiao3', 'shu1', 'chu2']"
有脚书橱,"['you3', 'jiao3', 'shu1', 'chu2']"
有脚阳春,"['you3', 'jiao3', 'yang2', 'chun1']"
有教无类,"['you3', 'jiao4', 'wu2', 'lei4']"
有借无还,"['you3', 'jie4', 'wu2', 'huan2']"
有进无退,"['you3', 'jin4', 'wu2', 'tui4']"
有口皆碑,"['you3', 'kou3', 'jie1', 'bei1']"
有口难辩,"['you3', 'kou3', 'nan2', 'bian4']"
有口难分,"['you3', 'kou3', 'nan2', 'fen1']"
有口难言,"['you3', 'kou3', 'nan2', 'yan2']"
有口无心,"['you3', 'kou3', 'wu2', 'xin1']"
有口无行,"['you3', 'kou3', 'wu2', 'xing2']"
有来无回,"['you3', 'lai2', 'wu2', 'hui2']"
有来有往,"['you3', 'lai2', 'you3', 'wang3']"
有棱有角,"['you3', 'leng2', 'you3', 'jiao3']"
有利可图,"['you3', 'li4', 'ke3', 'tu2']"
有利有弊,"['you3', 'li4', 'you3', 'bi4']"
有例可援,"['you3', 'li4', 'ke3', 'yuan2']"
有名亡实,"['you3', 'ming2', 'wang2', 'shi2']"
有名无实,"['you3', 'ming2', 'wu2', 'shi2']"
有目共睹,"['you3', 'mu4', 'gong4', 'du3']"
有目共见,"['you3', 'mu4', 'gong4', 'jian4']"
有目共赏,"['you3', 'mu4', 'gong4', 'shang3']"
有目无睹,"['you3', 'mu4', 'wu2', 'du3']"
有年无月,"['you3', 'nian2', 'wu2', 'yue4']"
有女怀春,"['you3', 'nv3', 'huai2', 'chun1']"
有凭有据,"['you3', 'ping2', 'you3', 'ju4']"
有气没力,"['you3', 'qi4', 'mei2', 'li4']"
有气无力,"['you3', 'qi4', 'wu2', 'li4']"
有气无烟,"['you3', 'qi4', 'wu2', 'yan1']"
有钱有势,"['you3', 'qian2', 'you3', 'shi4']"
有求必应,"['you3', 'qiu2', 'bi4', 'ying4']"
有三有俩,"['you3', 'san1', 'you3', 'liang3']"
有色眼镜,"['you3', 'se4', 'yan3', 'jing4']"
有伤风化,"['you3', 'shang1', 'feng1', 'hua4']"
有生力量,"['you3', 'sheng1', 'li4', 'liang4']"
有生以来,"['you3', 'sheng1', 'yi3', 'lai2']"
有生之年,"['you3', 'sheng1', 'zhi1', 'nian2']"
有声没气,"['you3', 'sheng1', 'mei2', 'qi4']"
有声无气,"['you3', 'sheng1', 'wu2', 'qi4']"
有声无实,"['you3', 'sheng1', 'wu2', 'shi2']"
有声有色,"['you3', 'sheng1', 'you3', 'se4']"
有识之士,"['you3', 'shi2', 'zhi1', 'shi4']"
有始无终,"['you3', 'shi3', 'wu2', 'zhong1']"
有始有终,"['you3', 'shi3', 'you3', 'zhong1']"
有始有卒,"['you3', 'shi3', 'you3', 'zu2']"
有事之秋,"['you3', 'shi4', 'zhi1', 'qiu1']"
有恃无恐,"['you3', 'shi4', 'wu2', 'kong3']"
有恃毋恐,"['you3', 'shi4', 'wu2', 'kong3']"
有说有笑,"['you3', 'shuo1', 'you3', 'xiao4']"
有死无二,"['you3', 'si3', 'wu2', 'er4']"
有损无益,"['you3', 'sun3', 'wu2', 'yi4']"
有所作为,"['you3', 'suo3', 'zuo4', 'wei2']"
有天没日,"['you3', 'tian1', 'mei2', 'ri4']"
有天无日,"['you3', 'tian1', 'wu2', 'ri4']"
有条不紊,"['you3', 'tiao2', 'bu4', 'wen3']"
有条有理,"['you3', 'tiao2', 'you3', 'li3']"
有头没脑,"['you3', 'tou2', 'mei2', 'nao3']"
有头无脑,"['you3', 'tou2', 'wu2', 'nao3']"
有头无尾,"['you3', 'tou2', 'wu2', 'wei3']"
有头有脸,"['you3', 'tou2', 'you3', 'lian3']"
有头有脑,"['you3', 'tou2', 'you3', 'nao3']"
有头有尾,"['you3', 'tou2', 'you3', 'wei3']"
有文无行,"['you3', 'wen2', 'wu2', 'xing2']"
有闻必录,"['you3', 'wen2', 'bi4', 'lu4']"
有问必答,"['you3', 'wen4', 'bi4', 'da2']"
有我无人,"['you3', 'wo3', 'wu2', 'ren2']"
有无相通,"['you3', 'wu2', 'xiang1', 'tong1']"
有物有则,"['you3', 'wu4', 'you3', 'ze2']"
有隙可乘,"['you3', 'xi4', 'ke3', 'cheng2']"
有心无力,"['you3', 'xin1', 'wu2', 'li4']"
有心有意,"['you3', 'xin1', 'you3', 'yi4']"
有血有肉,"['you3', 'xue4', 'you3', 'rou4']"
有言在先,"['you3', 'yan2', 'zai4', 'xian1']"
有眼如盲,"['you3', 'yan3', 'ru2', 'mang2']"
有眼无瞳,"['you3', 'yan3', 'wu2', 'tong2']"
有眼无珠,"['you3', 'yan3', 'wu2', 'zhu1']"
有一得一,"['you3', 'yi1', 'de2', 'yi1']"
有一无二,"['you3', 'yi1', 'wu2', 'er4']"
有以善处,"['you3', 'yi3', 'shan4', 'chu3']"
有意无意,"['you3', 'yi4', 'wu2', 'yi4']"
有勇无谋,"['you3', 'yong3', 'wu2', 'mou2']"
有勇有谋,"['you3', 'yong3', 'you3', 'mou2']"
有勇知方,"['you3', 'yong3', 'zhi1', 'fang1']"
有约在先,"['you3', 'yue1', 'zai4', 'xian1']"
有增无损,"['you3', 'zeng1', 'wu2', 'sun3']"
有增无已,"['you3', 'zeng1', 'wu2', 'yi3']"
有征无战,"['you3', 'zheng1', 'wu2', 'zhan4']"
有枝添叶,"['you3', 'zhi1', 'tian1', 'ye4']"
有枝有叶,"['you3', 'zhi1', 'you3', 'ye4']"
有志竟成,"['you3', 'zhi4', 'jing4', 'cheng2']"
有志无时,"['you3', 'zhi4', 'wu2', 'shi2']"
有志之士,"['you3', 'zhi4', 'zhi1', 'shi4']"
有嘴没舌,"['you3', 'zui3', 'mei2', 'she2']"
有嘴没心,"['you3', 'zui3', 'mei2', 'xin1']"
有嘴无心,"['you3', 'zui3', 'wu2', 'xin1']"
牖中窥日,"['you3', 'zhong1', 'kui1', 'ri4']"
又当别论,"['you4', 'dang1', 'bie2', 'lun4']"
又红又专,"['you4', 'hong2', 'you4', 'zhuan1']"
又弱一个,"['you4', 'ruo4', 'yi1', 'ge4']"
又生一秦,"['you4', 'sheng1', 'yi1', 'qin2']"
又作别论,"['you4', 'zuo4', 'bie2', 'lun4']"
右翦左屠,"['you4', 'jian3', 'zuo3', 'tu2']"
右军习气,"['you4', 'jun1', 'xi2', 'qi4']"
幼学壮行,"['you4', 'xue2', 'zhuang4', 'xing2']"
狖轭鼯轩,"['you4', 'e4', 'wu2', 'xuan1']"
囿于成见,"['you4', 'yu2', 'cheng2', 'jian4']"
诱敌深入,"['you4', 'di2', 'shen1', 'ru4']"
诱秦诓楚,"['you4', 'qin2', 'kuang1', 'chu3']"
诱掖后进,"['you4', 'ye4', 'hou4', 'jin4']"
诱掖奖劝,"['you4', 'ye4', 'jiang3', 'quan4']"
纡金曳紫,"['yu1', 'jin1', 'ye4', 'zi3']"
纡佩金紫,"['yu1', 'pei4', 'jin1', 'zi3']"
纡青佩紫,"['yu1', 'qing1', 'pei4', 'zi3']"
纡青拖紫,"['yu1', 'qing1', 'tuo1', 'zi3']"
纡朱怀金,"['yu1', 'zhu1', 'huai2', 'jin1']"
纡朱拖紫,"['yu1', 'zhu1', 'tuo1', 'zi3']"
纡朱曳紫,"['yu1', 'zhu1', 'ye4', 'zi3']"
纡尊降贵,"['yu1', 'zun1', 'jiang4', 'gui4']"
迂回曲折,"['yu1', 'hui2', 'qu1', 'zhe2']"
迂谈阔论,"['yu1', 'tan2', 'kuo4', 'lun4']"
于安思危,"['yu2', 'an1', 'si1', 'wei1']"
于飞之乐,"['yu2', 'fei1', 'zhi1', 'le4']"
于呼哀哉,"['yu2', 'hu1', 'ai1', 'zai1']"
